event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
2098,2010-07-19 06:00:00,"Jahjon ward(?), Mon town, Nagaland","Jahjon ward(?), Mon town, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,95.0283,26.7215,517.723798751831,1196.9130635261536,2589.7237211465836,24.018731689453148,0.4891242980957031,0.49673905968666077,929.603359375
2106,2010-07-20 00:00:00,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland","road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.9921,26.8716,1280.6217670440674,2546.844005584717,3220.11561691761,25.216638183593773,0.4807332456111908,0.50164794921875,971.388984375
2113,2010-07-21 08:00:00,"Singtam-Mangan rd, Sikkim","Singtam-Mangan rd, Sikkim",Sikkim,landslide,downpour,medium,unknown,0.0,,88.559,27.3773,707.0372700691223,1743.9072132110596,4584.782242774963,17.473168945312523,0.4231758117675781,0.4276313781738281,800.867109375
2140,2010-07-25 00:00:00,"road between Halfong and Redzol(?) or Silchar, Assam","road between Halfong and Redzol(?) or Silchar, Assam",Assam,landslide,downpour,medium,unknown,0.0,,92.801,25.0477,152.95694768428802,448.437862098217,935.8031824231148,27.636834716796898,0.4708029329776764,0.4633769989013672,980.876484375
2163,2010-07-29 00:00:00,"Maram area in Senapati district, National Highway 39","Maram area in Senapati district, National Highway 39",Nagaland,landslide,downpour,medium,unknown,0.0,,94.1054,25.4196,332.51824975013733,516.7101621627808,1288.1719022989273,19.917535400390648,0.4938119351863861,0.4974905550479889,859.762734375
2166,2010-07-29 00:00:00,"Highway 53 at Tupul, Tamenglong district","Highway 53 at Tupul, Tamenglong district",Assam,landslide,downpour,medium,unknown,0.0,,93.5027,24.9786,423.845499753952,540.8272221684456,1028.0165895819664,22.591271972656273,0.422747939825058,0.4253908693790436,929.546484375
2164,2010-07-29 23:00:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",Manipur,landslide,downpour,medium,unknown,0.0,,94.48214677,25.3098633,318.8941478729248,524.9949842691422,1411.2136363983154,20.455865478515648,0.4559599459171295,0.47658729553222656,855.136484375
2182,2010-07-31 09:00:00,Dimapur-Imphal highway (NH 39) near Manipur,Dimapur-Imphal highway (NH 39) near Manipur,Manipur,landslide,rain,medium,unknown,0.0,,93.8443,24.9356,98.992258310318,931.9100752472878,1321.2395906448364,20.828118896484398,0.4711271822452545,0.47593626379966736,883.697109375
2205,2010-08-06 00:00:00,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","Dawrpui Vengthar cemetary, Aizwal, Mizoram",Mizoram,landslide,downpour,medium,unknown,0.0,,92.7146,23.7365,285.47778725624084,928.9559125900269,1699.7179202735424,23.728448486328148,0.4235166013240814,0.4247169494628906,943.9175
2243,2010-08-13 00:00:00,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland","NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",Nagaland,landslide,downpour,medium,mine,0.0,,94.04619681,25.70223725,152.7588665485382,653.3136963844299,1082.8282088041306,21.133477783203148,0.48185157775878906,0.4972139894962311,853.373515625
