event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude
6214,2014-10-05 17:45:00,Jorabat-Umiam route,Jorabat-Umiam route,Meghalaya,landslide,rain,medium,above_road,1.0,0.0,91.8587,25.9702
6293,2014-10-20 00:00:00,South West Garo Hills,South West Garo Hills,Meghalaya,landslide,rain,medium,unknown,6.0,0.0,90.0896,25.5006
6775,2015-02-14 00:00:00,Kailashpur hill,Kailashpur hill,Assam,landslide,mining,small,mine,1.0,2.0,91.6469,26.1468
6786,2015-02-19 23:00:00,"Hailākāndi : Two labourers died while another was injured in a landslide in Assam's Hailakandi district, the police said today.",,Assam,landslide,mining,medium,mine,2.0,1.0,92.562,24.6108
7591,2015-03-19 00:00:00,Ratacherra,Ratacherra,Assam,landslide,rain,small,unknown,0.0,0.0,92.4584,25.0318
7031,2015-05-24 00:00:00,"Bop, Sikkim","Bop, Sikkim",Sikkim,landslide,unknown,medium,above_road,0.0,0.0,88.6586,27.6163
6971,2015-06-09 00:00:00,"Itanagar, Arunachal Pradesh","Itanagar, Arunachal Pradesh",Arunachal Pradesh,landslide,continuous_rain,medium,above_road,2.0,2.0,93.816,27.0987
6968,2015-06-13 00:00:00,"Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizoramon","Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizoramon",Meghalaya,landslide,continuous_rain,medium,unknown,4.0,2.0,92.2121,25.463
6970,2015-06-16 00:00:00,Akonggre,Akonggre,Meghalaya,rock_fall,downpour,small,above_road,1.0,0.0,90.2191,25.5084
6969,2015-06-16 06:15:00,"Nakham Bazaar, Tura, Meghalaya","Nakham Bazaar, Tura, Meghalaya",Meghalaya,landslide,downpour,medium,urban,4.0,0.0,90.215,25.5114
6945,2015-06-19 00:00:00,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District","amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",Manipur,landslide,monsoon,medium,above_road,0.0,0.0,93.686,25.16
6963,2015-06-19 00:00:00,"Muanna locality, Mizoram","Muanna locality, Mizoram",Mizoram,landslide,rain,medium,natural_slope,0.0,0.0,92.7362,23.7131
6990,2015-06-24 00:00:00,"New Land (""""New Colony"""")","New Land (""""New Colony"""")",Nagaland,landslide,continuous_rain,medium,above_road,0.0,0.0,94.5466,26.0319
7138,2015-07-07 00:00:00,"NH-10, Sepi Jhora, Kalimpong","NH-10, Sepi Jhora, Kalimpong",Sikkim,landslide,continuous_rain,small,above_road,0.0,0.0,88.4397,27.0816
7214,2015-07-15 08:00:00,Type-IV Colony of Seppa in East Kameng,Type-IV Colony of Seppa in East Kameng,Arunachal Pradesh,landslide,monsoon,medium,urban,3.0,0.0,93.0385,27.36
7265,2015-07-22 00:00:00,Willong-Yangkhullen stretch,Willong-Yangkhullen stretch,Manipur,landslide,continuous_rain,medium,above_road,0.0,0.0,93.9854,25.5007
7253,2015-07-22 00:00:00,Lakhipur,Lakhipur,Assam,landslide,continuous_rain,medium,urban,5.0,0.0,92.9974,24.7979
7267,2015-07-22 00:00:00,NH-2 between Senapati and Mao,NH-2 between Senapati and Mao,Manipur,landslide,continuous_rain,small,above_road,0.0,0.0,94.0926,25.3908
7264,2015-07-22 00:00:00,22 kms to 30 kms between Sangkungmai and Willong,22 kms to 30 kms between Sangkungmai and Willong,Manipur,landslide,continuous_rain,medium,above_road,0.0,0.0,93.9827,25.4538
7263,2015-07-22 00:00:00,"15 kms from Maram, National Highway-102/A (Maram Peren road)","15 kms from Maram, National Highway-102/A (Maram Peren road)",Manipur,landslide,continuous_rain,medium,above_road,0.0,0.0,94.0489,25.4477
7266,2015-07-22 00:00:00,Yangkhullen-Tamphung road till Nagaland border,Yangkhullen-Tamphung road till Nagaland border,Manipur,landslide,continuous_rain,medium,above_road,0.0,0.0,93.8794,25.5098
7279,2015-07-24 00:00:00,Tamenglong Ward No-IV,Tamenglong Ward No-IV,Manipur,mudslide,monsoon,medium,other,0.0,0.0,93.5142,24.9818
7276,2015-07-25 09:00:00,"Dispur : According to report, a huge hillock slipped into the house after heavy rain where Dinesh Bodo along with his wife and daughter lived in. Thi*",,Assam,landslide,continuous_rain,medium,natural_slope,2.0,0.0,91.8717,26.1062
7364,2015-07-31 09:00:00,Phungyar road,Phungyar road,Manipur,landslide,continuous_rain,medium,below_road,0.0,0.0,94.3551,24.819
7372,2015-07-31 23:00:00,Naga Gate along the Ukhrul-Imphal route,Naga Gate along the Ukhrul-Imphal route,Manipur,mudslide,continuous_rain,medium,above_road,0.0,0.0,94.3415,25.0634
7389,2015-08-01 00:00:00,between Bongyang and Lokchao along the Imphal-Moreh highway,between Bongyang and Lokchao along the Imphal-Moreh highway,Manipur,landslide,continuous_rain,medium,above_road,0.0,0.0,94.0644,24.4072
